"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T03:00:00","57.9","71.1","64.8","71.2","64.0","78.1","71.0","71.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T04:00:00","57.9","71.1","64.9","70.4","63.0","77.0","70.4","70.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T05:00:00","57.0","71.1","64.8","69.9","63.0","75.9","69.8","69.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T06:00:00","57.9","71.1","65.0","69.7","63.0","75.9","69.7","69.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T07:00:00","59.0","72.0","65.6","71.6","64.9","78.1","71.5","71.5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T08:00:00","59.0","71.1","65.8","74.3","66.9","80.1","73.8","73.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T09:00:00","59.0","72.0","65.8","77.5","69.1","82.9","76.3","76.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T10:00:00","57.9","72.0","65.7","80.4","70.0","86.0","78.7","78.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T11:00:00","57.9","71.1","65.6","82.7","73.0","88.0","80.7","80.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T12:00:00","57.9","71.1","65.4","84.8","73.9","90.0","82.5","82.5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T13:00:00","57.0","71.1","65.3","86.4","73.9","91.9","84.0","84.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T14:00:00","57.0","71.1","65.1","87.6","75.9","93.0","85.1","85.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T15:00:00","57.0","71.1","64.9","87.9","75.0","93.9","85.5","85.5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T16:00:00","55.9","71.1","64.7","87.9","75.9","93.9","85.6","85.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T17:00:00","55.9","71.1","64.4","87.1","75.9","93.0","85.0","85.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T18:00:00","55.9","71.1","64.5","85.6","73.9","91.0","83.6","83.5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T19:00:00","55.9","71.1","64.6","83.0","73.0","89.1","81.3","81.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T20:00:00","57.0","71.1","64.7","80.2","70.0","87.1","78.8","78.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T21:00:00","57.0","71.1","64.9","78.3","69.1","84.9","77.1","77.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T22:00:00","57.0","71.1","65.0","77.1","69.1","84.0","76.1","76.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T23:00:00","57.9","71.1","65.1","75.7","68.0","82.0","74.9","74.9"
